origin,destination,pair,pax,weight
BOM,DEL,BOM-DEL,3241735.0,0.08783205506745143
DEL,BOM,BOM-DEL,3231661.0,0.08755910859812266
BLR,DEL,BLR-DEL,2449074.0,0.06635557885893312
DEL,BLR,BLR-DEL,2429999.0,0.06583875794346296
BOM,BLR,BLR-BOM,1979840.0,0.05364208237401979
BLR,BOM,BLR-BOM,1926177.0,0.052188128990697386
HYD,DEL,DEL-HYD,1550490.0,0.0420092089765304
DEL,HYD,DEL-HYD,1545290.0,0.04186831939537995
DEL,CCU,CCU-DEL,1454237.0,0.03940131573528538
DEL,PNQ,DEL-PNQ,1434645.0,0.03887048714415085
PNQ,DEL,DEL-PNQ,1429688.0,0.03873618144150416
CCU,DEL,CCU-DEL,1412124.0,0.0382602997870183
DEL,AMD,AMD-DEL,1200490.0,0.0325262563990964
AMD,DEL,AMD-DEL,1170859.0,0.03172342963389084
BOM,CCU,BOM-CCU,1142570.0,0.030956963218282178
BLR,HYD,BLR-HYD,1130293.0,0.030624328336016016
HYD,BLR,BLR-HYD,1121180.0,0.030377419345049856
MAA,DEL,DEL-MAA,1111036.0,0.030102576285205598
DEL,MAA,DEL-MAA,1110509.0,0.030088297668039003
CCU,BOM,BOM-CCU,1096188.0,0.029700282342720624
BLR,CCU,BLR-CCU,1094428.0,0.029652596638331242
CCU,BLR,BLR-CCU,1077187.0,0.029185466394366845
DEL,GAU,DEL-GAU,792215.0,0.02146439221751964
GAU,DEL,DEL-GAU,776421.0,0.021036467208925377
